M49_Code,ISO_Code,Country,region_m49,Region_Name,Grouping,include
4,AFG,Afghanistan,199,Least Developed Countries (LDCs),2.3-Other groupings,1
4,AFG,Afghanistan,34,Southern Asia (MDG=M49),2.5-Regional (MDG),1
4,AFG,Afghanistan,515,Developing regions (MDG),2.5-Regional (MDG),1
4,AFG,Afghanistan,34,Southern Asia (MDG=M49),2.1-Regional (SDG),1
4,AFG,Afghanistan,62,Central Asia (M49) and Southern Asia (MDG=M49),2.1-Regional (SDG),1
4,AFG,Afghanistan,1,World,1.0-Global,1
4,AFG,Afghanistan,432,Landlocked developing countries (LLDCs),2.3-Other groupings,1
4,AFG,Afghanistan,142,Asia (M49),2.4-Regional (M49),1
8,ALB,Albania,514,Developed regions (MDG),2.5-Regional (MDG),1
8,ALB,Albania,1,World,1.0-Global,1
8,ALB,Albania,39,Southern Europe (M49),2.4-Regional (M49),1
8,ALB,Albania,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
8,ALB,Albania,150,Europe (M49),2.1-Regional (SDG),1
12,DZA,Algeria,746,Northern Africa (MDG),2.5-Regional (MDG),1
12,DZA,Algeria,2,Africa (M49),2.4-Regional (M49),1
12,DZA,Algeria,747,Western Asia (M49) and Northern Africa (M49),2.1-Regional (SDG),1
12,DZA,Algeria,1,World,1.0-Global,1
12,DZA,Algeria,515,Developing regions (MDG),2.5-Regional (MDG),1
12,DZA,Algeria,15,Northern Africa (M49),2.1-Regional (SDG),1
16,ASM,American Samoa,543,Oceania (MDG),2.5-Regional (MDG),0
16,ASM,American Samoa,61,Polynesia (M49),2.4-Regional (M49),0
16,ASM,American Samoa,515,Developing regions (MDG),2.5-Regional (MDG),0
16,ASM,American Samoa,9,Oceania (M49),2.1-Regional (SDG),0
16,ASM,American Samoa,1,World,1.0-Global,0
16,ASM,American Samoa,722,Small island developing States (SIDS),2.3-Other groupings,0
16,ASM,American Samoa,543,Oceania (M49) excluding Australia and New Zealand (M49),2.1-Regional (SDG),0
20,AND,Andorra,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
20,AND,Andorra,39,Southern Europe (M49),2.4-Regional (M49),1
20,AND,Andorra,150,Europe (M49),2.1-Regional (SDG),1
20,AND,Andorra,1,World,1.0-Global,1
20,AND,Andorra,514,Developed regions (MDG),2.5-Regional (MDG),1
24,AGO,Angola,2,Africa (M49),2.4-Regional (M49),1
24,AGO,Angola,1,World,1.0-Global,1
24,AGO,Angola,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
24,AGO,Angola,199,Least Developed Countries (LDCs),2.3-Other groupings,1
24,AGO,Angola,515,Developing regions (MDG),2.5-Regional (MDG),1
24,AGO,Angola,17,Middle Africa (M49),2.4-Regional (M49),1
24,AGO,Angola,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
660,AIA,Anguilla,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),0
660,AIA,Anguilla,515,Developing regions (MDG),2.5-Regional (MDG),0
660,AIA,Anguilla,29,Caribbean (M49),2.4-Regional (M49),0
660,AIA,Anguilla,722,Small island developing States (SIDS),2.3-Other groupings,0
660,AIA,Anguilla,19,Americas (m49),2.4-Regional (M49),0
660,AIA,Anguilla,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),0
660,AIA,Anguilla,1,World,1.0-Global,0
28,ATG,Antigua and Barbuda,722,Small island developing States (SIDS),2.3-Other groupings,1
28,ATG,Antigua and Barbuda,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
28,ATG,Antigua and Barbuda,515,Developing regions (MDG),2.5-Regional (MDG),1
28,ATG,Antigua and Barbuda,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
28,ATG,Antigua and Barbuda,1,World,1.0-Global,1
28,ATG,Antigua and Barbuda,29,Caribbean (M49),2.4-Regional (M49),1
28,ATG,Antigua and Barbuda,19,Americas (m49),2.4-Regional (M49),1
32,ARG,Argentina,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
32,ARG,Argentina,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
32,ARG,Argentina,19,Americas (m49),2.4-Regional (M49),1
32,ARG,Argentina,5,South America (M49),2.4-Regional (M49),1
32,ARG,Argentina,1,World,1.0-Global,1
32,ARG,Argentina,515,Developing regions (MDG),2.5-Regional (MDG),1
51,ARM,Armenia,747,Western Asia (M49) and Northern Africa (M49),2.1-Regional (SDG),1
51,ARM,Armenia,135,Caucasus and Central Asia (MDG),2.5-Regional (MDG),1
51,ARM,Armenia,515,Developing regions (MDG),2.5-Regional (MDG),1
51,ARM,Armenia,142,Asia (M49),2.4-Regional (M49),1
51,ARM,Armenia,432,Landlocked developing countries (LLDCs),2.3-Other groupings,1
51,ARM,Armenia,145,Western Asia (M49),2.1-Regional (SDG),1
51,ARM,Armenia,1,World,1.0-Global,1
533,ABW,Aruba,515,Developing regions (MDG),2.5-Regional (MDG),0
533,ABW,Aruba,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),0
533,ABW,Aruba,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),0
533,ABW,Aruba,19,Americas (m49),2.4-Regional (M49),0
533,ABW,Aruba,722,Small island developing States (SIDS),2.3-Other groupings,0
533,ABW,Aruba,29,Caribbean (M49),2.4-Regional (M49),0
533,ABW,Aruba,1,World,1.0-Global,0
36,AUS,Australia,9,Oceania (M49),2.1-Regional (SDG),1
36,AUS,Australia,53,Australia and New Zealand (M49),2.1-Regional (SDG),1
36,AUS,Australia,514,Developed regions (MDG),2.5-Regional (MDG),1
36,AUS,Australia,1,World,1.0-Global,1
40,AUT,Austria,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
40,AUT,Austria,514,Developed regions (MDG),2.5-Regional (MDG),1
40,AUT,Austria,150,Europe (M49),2.1-Regional (SDG),1
40,AUT,Austria,1,World,1.0-Global,1
40,AUT,Austria,155,Western Europe (M49),2.4-Regional (M49),1
31,AZE,Azerbaijan,145,Western Asia (M49),2.1-Regional (SDG),1
31,AZE,Azerbaijan,1,World,1.0-Global,1
31,AZE,Azerbaijan,747,Western Asia (M49) and Northern Africa (M49),2.1-Regional (SDG),1
31,AZE,Azerbaijan,142,Asia (M49),2.4-Regional (M49),1
31,AZE,Azerbaijan,135,Caucasus and Central Asia (MDG),2.5-Regional (MDG),1
31,AZE,Azerbaijan,515,Developing regions (MDG),2.5-Regional (MDG),1
31,AZE,Azerbaijan,432,Landlocked developing countries (LLDCs),2.3-Other groupings,1
44,BHS,Bahamas,1,World,1.0-Global,1
44,BHS,Bahamas,19,Americas (m49),2.4-Regional (M49),1
